13:46:03.311 |I| Core                           | RequestBuilder thread:7        | MsBuild process with Id = 12532
13:46:03.312 |I| Core                           | RequestBuilder thread:7        | MsBuild location = C:\Windows\Microsoft.NET\Framework\v4.0.30319\MSBuild.exe
13:46:03.313 |I| Core                           | RequestBuilder thread:7        | 
13:46:03.313 |I| Core                           | RequestBuilder thread:7        | Start ControllerTask...
13:46:03.313 |I| Core                           | RequestBuilder thread:7        | Detected version: 4.8
13:46:03.313 |I| Core                           | RequestBuilder thread:7        | Creating SocketWire with port = 50971
13:46:03.348 |I| Core                           | RequestBuilder thread:7        | Create protocol...
13:46:03.389 |I| Core                           | RequestBuilder thread:7        | Create MsBuildModel and advise for new sessions...
13:46:03.417 |I| Core                           | RequestBuilder thread:7        | Subscribe for changes...
13:46:03.417 |I| Core                           | RequestBuilder thread:7        | Setup process watchdog...
13:46:03.418 |I| Core                           | RequestBuilder thread:7        | Run dispatcher...
13:46:03.418 |I| ProcessWatchdog                | WatchParentPid:9548:11         | Monitoring parent process PID:9548
13:46:03.482 |I| Core                           | RequestBuilder thread:7        | Get protocol session 'RdProjectModelSession'
13:46:03.489 |I| Core                           | RequestBuilder thread:7        | Msbuild session 'ProjectModelSessionHost' created
13:46:03.536 |I| ProjectModel                   | RequestBuilder thread:7        | Reloading 5 project(s) in 1 node(s)...
13:46:03.544 |I| Build                          | :3                             | Build started.
13:46:03.777 |I| ProjectModel                   | RequestBuilder thread:7        | Project 'Assembly-CSharp.csproj' has load-time sensitive targets: XamlMarkupCompilePass1
13:46:03.780 |I| BuildQueue                     | RequestBuilder thread:7        | Build immediately: Assembly-CSharp.csproj
13:46:03.782 |I| Build                          | RequestBuilder thread:7        | Start build 'Assembly-CSharp.csproj' with 1 target frameworks
13:46:03.784 |I| Build                          | RequestBuilder thread:7        | Targets for build: _CheckForInvalidConfigurationAndPlatform;GetFrameworkPaths;BeforeResolveReferences;ResolveAssemblyReferences;ResolveComReferences;ResolveSDKReferences;ImplicitlyExpandDesignTimeFacades;XamlMarkupCompilePass1
13:46:03.786 |I| ProjectModel                   | RequestBuilder thread:7        | Project 'JetBrains.Frontend.2021.2.csproj' has load-time sensitive targets: XamlMarkupCompilePass1
13:46:03.786 |I| BuildQueue                     | RequestBuilder thread:7        | Build immediately: JetBrains.Frontend.2021.2.csproj
13:46:03.786 |I| Build                          | RequestBuilder thread:7        | Start build 'JetBrains.Frontend.2021.2.csproj' with 1 target frameworks
