23:35:04.189 |V| JetEnvironment                | :1                 | JetEnvironment is initiating startup.
23:35:04.198 |V| JetEnvironment                | :1                 | Commencing InitHost phase.
23:35:04.207 |V| EnvironmentVariablesUtil      | :1                 | Reading environment variable JET_TEMP_DIR (no PID suffix).
23:35:04.207 |V| EnvironmentVariablesUtil      | :1                 | The environment variable JET_TEMP_DIR (no PID suffix) has no value.
23:35:04.207 |V| EnvironmentVariablesUtil      | :1                 | Reading environment variable JET_TEMP_DIR_PID_000019C4 (PID-specific).
23:35:04.207 |V| EnvironmentVariablesUtil      | :1                 | The environment variable JET_TEMP_DIR_PID_000019C4 (PID-specific) has no value.
23:35:04.207 |V| EnvironmentVariablesUtil      | :1                 | No environment variables for additional packages are set.
23:35:04.517 |V| JetHostParametersCaller       | :1                 | <Measured> "Host initialization"  time=311ms
23:35:04.517 |V| JetEnvironment                | :1                 | HostInit phase completed.
23:35:04.517 |V| JetEnvironment                | :1                 | Requesting FullPartCatalogSet.
23:35:04.541 |V| DeployedPackages              | :1                 | Initiating Deployed Package discovery for bindir E:\Shattered-kingdom\Shattered-Kingdom\Library\RiderFlow\2022.1.5.248\Backend~\bin.
23:35:04.548 |V| DeployedPackages              | :1                 | Scanning folder E:\Shattered-kingdom\Shattered-Kingdom\Library\RiderFlow\2022.1.5.248\Backend~\bin for Deployed Packages. Picking nugets? True!
